Country,Scale,Base Year,2017,2018,2019,2020,2021,2022,2023
"Afghanistan, Islamic Rep. of",Millions,,1285460.0,1327690.0,1469600.0,1547290.0,1232858.3,...,...
Albania,Millions,,1550645.485902,1636731.321762,1691903.429768,1647431.071359,1856172.259229,2134463.547452,...
Algeria,Millions,,18876175.6,20393524.406479802,20500200.0,18477000.0,22079300,27688900,...
"Andorra, Principality of",Millions,,2655.7584,2725.2696,2818.4223,2531.0868,2810.9653,3187.5029,...
Angola,Millions,,20262300.0,25627742.1172936,30330429.3997051,33063020.2428879,46696955.725339,...,...
Anguilla,Millions,,767.38,865.31,1024.88,697.79,725.129779698755,881.304606001375,...
Antigua and Barbuda,Millions,,3963.54,4336.05,4556.34,3699.7,3972,...,...
Argentina,Millions,,10660228.5,14744810.7,21558444.1,27209814.1,46346227.4,82436433.7,...
"Armenia, Rep. of",Millions,,5564493.3,6017035.2,6543321.8,6181902.6,6991777.8,8501435.5,...
"Aruba, Kingdom of the Netherlands",Millions,,5535.0,5732.0,6030.46,4672.02,5595.61,...,...
Australia,Millions,,1802283.0,1895536.0,1993774.0,1972898.0,2189667,2451067,...
Austria,Millions,,369361.87,385274.09,397147.19,380888.46,405241.42,447217.64,...
"Azerbaijan, Rep. of",Millions,,70337.8,80092.0,81896.2,72578.1,93203.2,133825.8,...
"Bahamas, The",Millions,,12253.534831516301,12653.6033246108,13058.7001249802,9754.55944247393,11527.5732805884,12897.421925500901,...
"Bahrain, Kingdom of",Millions,,13338.0,14214.0,14534.0,13056.0,14615,...,...
Bangladesh,Millions,,23243070.0,26392480.0,29514288.0,31704694.0,35301848,39717164,...
Barbados,Millions,,9963.17779964818,10194.5653899596,10648.531217315001,9343.564914863078,9687.63351600542,...,...
"Belarus, Rep. of",Millions,,105748.2,122319.7,134732.1,149720.8,176879,191374,...
Belgium,Millions,,445050.1,460050.8,478676.2,460747.7,507929.6,554044.3,...
Belize,Millions,,4572.443087885141,4630.06000439851,4833.301471772999,4160.31967401865,4983.3468624524,...,...
Benin,Millions,,7375302.19790595,7922004.05612725,8432247.50674652,9008810.37120071,9809693.95572076,10854508.0731664,...
Bhutan,Millions,,159571.7,167339.97,178561.73,172295.25,187772.77,...,...
Bolivia,Millions,,259184.71736247602,278387.64719959005,282586.680850555,253112.22069269902,279220.72092958505,304000.73238761997,...
Bosnia and Herzegovina,Millions,,31802.726645,33941.776942,35784.87937,34727.498636,39107.067419,45604.629134,...
Botswana,Millions,,166646.69922,173725.39844,179579.69922,171041.89609097198,195300.475226365,251773.79705895198,...
Brazil,Millions,,6585479.0,7004141.0,7389131.0,7609597.0,8898727.5,9915316.4,...
Brunei Darussalam,Millions,,16747.6781022898,18300.660513619998,18374.9867766468,16564.4378141911,18822.0281957987,23003.1047666727,...
Bulgaria,Millions,,102682.967,109915.576,120342.013,120492.425,138979.417,167808.976,...
Burkina Faso,Millions,,8191300.0,8826081.0,9478963.29444514,10322332.746357199,10944407.0240605,...,...
Burundi,Millions,,5485068.0,5414485.0,5559586.3439,5910572.9840933,6612792.676127731,7921684.627059599,...
Cabo Verde,Millions,,195295.176,205986.237,221828.589,176319.797,186237.29191327,235002.542520706,...
Cambodia,Millions,,89830524.8482289,99544274.7924477,110014048.243957,105891753.041339,110505915.923862,...,...
Cameroon,Millions,,20960865.0,22203329.0,23243662.0,23468507.0,25141470,...,...
Canada,Millions,,2140641.0,2235675.0,2313563.0,2209681.0,2509618,2782645,...
Cayman Islands,Millions,,4305.2172,4608.4636,4951.5607,4706.002,5023.6245,...,...
Central African Rep.,Millions,,1203324.0,1265328.0,1334895.0,1372814.0,1432021,...,...
Chad,Millions,,5854572.0,6130689.0,6440466.0,6165754.0,6537834,...,...
Chile,Millions,,179314910.1,189434867.4,195752228.5,201428894.2,240371473.1,262593355.8,...
"China, P.R.: Hong Kong",Millions,,2659611.0,2835429.0,2845022.0,2675793.0,2867622,2818046,...
"China, P.R.: Macao",Millions,,404839.0,446283.0,445530.0,203399.0,241157,177269,...
"China, P.R.: Mainland",Millions,,83203600.0,91928110.0,98651520.0,101356700.0,114923690,121020720,...
Colombia,Millions,,920471000.0,987791000.0,1060068000.0,997742000.0,1192586000,1462522439.5,...
"Comoros, Union of the",Millions,,469217.0,495235.0,525167.0,526820.0,535757.776423144,...,...
"Congo, Dem. Rep. of the",Millions,,55676093.0,76495500.0,83048340.0,90181048.0,112549821,...,...
"Congo, Rep. of",Millions,,6442284.25330868,7592974.20429641,7563880.3358538,6036201.52076534,6723397.277466861,7798683.36035778,...
Costa Rica,Millions,,34343647.5,36014718.7,37832149.8,36495246.1,40112924.8,44251689.7,...
Côte d'Ivoire,Millions,,29955010.0,32222266.0,34298893.0,35311383.0,38841109,...,...
"Croatia, Rep. of",Millions,,49626.10364,52060.69254,54909.95583,50569.27109,58407.78069,67993.10788,...
Cyprus,Millions,,20312.442,21675.095,23177.857,22086.566,24927.63,27777,...
Czech Rep.,Millions,,5110743.0,5410761.0,5791498.0,5709131.0,6108717,6785852,...
Denmark,Millions,,2192960.002,2253316.249,2310954.835,2320911.896,2550606.325,2831643.856,...
Djibouti,Millions,,490969.0,517784.0,548954.0,565343.0,599329,...,...
Dominica,Millions,,1408.19,1497.88,1651.15,1361.38,1496.29,...,...
Dominican Rep.,Millions,,3802655.77244254,4235846.7669485295,4562235.07573619,4456657.376752269,5392714.10208382,6260564.01859642,...
Ecuador,Millions,,104295.862,107562.008,108108.009,99291.124,106165.866,115049.476,...
"Egypt, Arab Rep. of",Millions,,3470000.0,4437400.0,5322100.0,6347800.0,7226500,...,...
El Salvador,Millions,,24979.190371893,26020.8537343418,26881.1367656225,24930.0850266358,29451.248081124802,32488.7153204553,...
"Equatorial Guinea, Rep. of",Millions,,7084543.0,7274689.0,6689508.7116898205,5768440.0,6174843,...,...
"Eritrea, The State of",Millions,,28702.0,30235.0,29876.0,31841.0,33178,...,...
"Estonia, Rep. of",Millions,,23833.6144,25932.1756,27951.0188,27429.9826,31168.9659,36011.1389,...
"Eswatini, Kingdom of",Millions,,60325.4734191895,60579.1818847656,66145.3307800293,67962.8140869141,68941.43029785159,...,...
"Ethiopia, The Federal Dem. Rep. of",Millions,,1832785.96236403,2200120.5883334,2690751.3514242796,3374349.16964546,4341390,...,...
Euro Area,Millions,,11224918.041933,11600155.539282,11987112.39743,11466666.427412,12416618.445111,13423939.251282,...
"Fiji, Rep. of",Millions,,11065.0,11650.5,11842.6,9709.80509,8895.928284,...,...
Finland,Millions,,226301.0,233462.0,239858.0,238038.0,250923,268645,...
France,Millions,,2297242.0,2363306.0,2437635.0,2317832.0,2502118,2639092,...
Gabon,Millions,,8669067.777241299,9368905.471829081,9886926.40998872,8816137.02258551,11219038.0423391,13650510.04472,...
"Gambia, The",Millions,,68793.99342377459,77200.4901815721,94096.248527602,94165.2716059927,106394.25693335499,...,...
Georgia,Millions,,40761.6634567744,44599.342780524,49252.653853254,49266.736190329,60003.323651382896,71754.1958391179,...
Germany,Millions,,3267160.0,3365450.0,3474110.0,3403730.0,3617450,3876810,...
Ghana,Millions,,262797.966050567,308587.39572588203,356544.26561466,391940.733197457,461694.936015411,610222.2923113831,...
Greece,Millions,,176903.368644,179557.675743,183347.417958,165015.741198,181500.373256,206620.394392,...
Grenada,Millions,,3042.58,3153.71076,3211.779085,2777.267825,3031.61314327661,...,...
Guatemala,Millions,,526507.414301467,551368.082117512,593972.019871594,600089.443335826,665567.936180764,736108.9840651,...
Guinea,Millions,,92195038.7338369,100739496.163848,122641000.0,134946000.0,157085010,...,...
Guinea-Bissau,Millions,,853553.0,863238.0,863238.0,855601.1640761801,843938.857012197,...,...
Guyana,Millions,,980498.0,994472.0,1078729.0,1140757.0,1676624,3068784,...
Haiti,Millions,,986919.147305417,1076412.65420669,1244013.98935705,1449887.87249109,1699208,2168222.8764330703,...
Honduras,Millions,,543403.0,575284.9,614917.7,585733.6,684203.8,776635.6,...
Hungary,Millions,,39274757.0,43386710.0,47674187.0,48425421.0,55198927,66075190,...
Iceland,Millions,,2641959.404969,2844054.747702,3026099.913291,2920473.195417,3250399.268377,3796566.847742,...
India,Millions,,166281300.0,186830700.0,197561400.0,192205900.0,227242900,265637600,...
Indonesia,Millions,,13589825700.0,14838756000.0,15832657200.0,15443353200.0,16976690800,19588445600,...
"Iran, Islamic Rep. of",Millions,,16165015456.2721,20462465062.3623,26288891617.305,35215143879.572,60074648130.7527,...,...
Iraq,Millions,,227348973.011975,268533712.261241,276610870.771297,201668287.996809,299449695.362502,392027726.990989,...
Ireland,Millions,,298528.309589,327441.366507,356357.385937,375249.648084,434069.740015,506282.419057,...
Israel,Millions,,1285863.5,1347000.7,1424572.4,1417343.9,1581860.4,1763805.8,...
Italy,Millions,,1736592.8,1771391.2,1796648.5,1661239.8,1822344.5,1946479.1,...
Jamaica,Millions,,1895025.0,2027251.0,2110433.0,1966928.0,2210219,2623255,...
Japan,Millions,,553073000.0,556630100.0,557910900.0,539284600.0,550074300,557227000,...
Jordan,Millions,,29542.0,30793.31,31945.74,31369.44,32478.43,34624.4975458535,...
